intervention_class,outcome,metric,value,framework,framework_item,guidance_interpretation
sGC stimulators,HF_HOSPITALIZATION,ecr_trials,0.0,SWiM,Item 5/6 (synthesis grouping and data contribution),State how many eligible studies contribute to each synthesis.
sGC stimulators,HF_HOSPITALIZATION,eligible_completed_trials,3,PRISMA 2020,Item 16a (study selection),Report denominator of studies assessed/eligible and included.
sGC stimulators,HF_HOSPITALIZATION,endpoint_alignment_rate,,SWiM,Item 7 (standardised metric and comparability),Document endpoint/timeframe alignment across included studies.
sGC stimulators,HF_HOSPITALIZATION,heterogeneity_i2,,PRISMA 2020,"Item 20b/20d (results of syntheses, heterogeneity)",Report heterogeneity and uncertainty for synthesis estimates.
sGC stimulators,HF_HOSPITALIZATION,reporting_debt_rate,0.3333333333333333,ROB-ME,Risk due to missing results,Assess proportion of completed but unreported studies for each synthesis.
ARB/ACEi,SAE,ecr_participants,0.024718628379089093,SWiM,Item 5/6 (synthesis grouping and data contribution),Describe participant-weighted contribution and missingness.
ARB/ACEi,SAE,ecr_trials,0.125,SWiM,Item 5/6 (synthesis grouping and data contribution),State how many eligible studies contribute to each synthesis.
ARB/ACEi,SAE,eligible_completed_trials,8,PRISMA 2020,Item 16a (study selection),Report denominator of studies assessed/eligible and included.
ARB/ACEi,SAE,endpoint_alignment_rate,1.0,SWiM,Item 7 (standardised metric and comparability),Document endpoint/timeframe alignment across included studies.
ARB/ACEi,SAE,heterogeneity_i2,0.0,PRISMA 2020,"Item 20b/20d (results of syntheses, heterogeneity)",Report heterogeneity and uncertainty for synthesis estimates.
ARB/ACEi,SAE,mnar_robust_under_scenario,True,ROB-ME,Sensitivity analysis under plausible missing evidence,Evaluate whether conclusions remain stable under non-random missingness assumptions.
ARB/ACEi,SAE,reporting_debt_rate,0.25,ROB-ME,Risk due to missing results,Assess proportion of completed but unreported studies for each synthesis.
ARNI,SAE,ecr_participants,0.0,SWiM,Item 5/6 (synthesis grouping and data contribution),Describe participant-weighted contribution and missingness.
ARNI,SAE,ecr_trials,0.0,SWiM,Item 5/6 (synthesis grouping and data contribution),State how many eligible studies contribute to each synthesis.
ARNI,SAE,eligible_completed_trials,9,PRISMA 2020,Item 16a (study selection),Report denominator of studies assessed/eligible and included.
ARNI,SAE,endpoint_alignment_rate,,SWiM,Item 7 (standardised metric and comparability),Document endpoint/timeframe alignment across included studies.
ARNI,SAE,heterogeneity_i2,,PRISMA 2020,"Item 20b/20d (results of syntheses, heterogeneity)",Report heterogeneity and uncertainty for synthesis estimates.
ARNI,SAE,reporting_debt_rate,0.14285714285714285,ROB-ME,Risk due to missing results,Assess proportion of completed but unreported studies for each synthesis.
Beta blockers,SAE,ecr_participants,0.0,SWiM,Item 5/6 (synthesis grouping and data contribution),Describe participant-weighted contribution and missingness.
Beta blockers,SAE,ecr_trials,0.0,SWiM,Item 5/6 (synthesis grouping and data contribution),State how many eligible studies contribute to each synthesis.
Beta blockers,SAE,eligible_completed_trials,2,PRISMA 2020,Item 16a (study selection),Report denominator of studies assessed/eligible and included.
Beta blockers,SAE,endpoint_alignment_rate,,SWiM,Item 7 (standardised metric and comparability),Document endpoint/timeframe alignment across included studies.
Beta blockers,SAE,heterogeneity_i2,,PRISMA 2020,"Item 20b/20d (results of syntheses, heterogeneity)",Report heterogeneity and uncertainty for synthesis estimates.
Beta blockers,SAE,reporting_debt_rate,0.0,ROB-ME,Risk due to missing results,Assess proportion of completed but unreported studies for each synthesis.
MRA,SAE,ecr_participants,0.9950132978723404,SWiM,Item 5/6 (synthesis grouping and data contribution),Describe participant-weighted contribution and missingness.
MRA,SAE,ecr_trials,1.0,SWiM,Item 5/6 (synthesis grouping and data contribution),State how many eligible studies contribute to each synthesis.
MRA,SAE,eligible_completed_trials,1,PRISMA 2020,Item 16a (study selection),Report denominator of studies assessed/eligible and included.
MRA,SAE,endpoint_alignment_rate,1.0,SWiM,Item 7 (standardised metric and comparability),Document endpoint/timeframe alignment across included studies.
MRA,SAE,heterogeneity_i2,0.0,PRISMA 2020,"Item 20b/20d (results of syntheses, heterogeneity)",Report heterogeneity and uncertainty for synthesis estimates.
MRA,SAE,mnar_robust_under_scenario,True,ROB-ME,Sensitivity analysis under plausible missing evidence,Evaluate whether conclusions remain stable under non-random missingness assumptions.
MRA,SAE,reporting_debt_rate,0.0,ROB-ME,Risk due to missing results,Assess proportion of completed but unreported studies for each synthesis.
Neprilysin inhibitors,SAE,ecr_participants,0.0,SWiM,Item 5/6 (synthesis grouping and data contribution),Describe participant-weighted contribution and missingness.
Neprilysin inhibitors,SAE,ecr_trials,0.0,SWiM,Item 5/6 (synthesis grouping and data contribution),State how many eligible studies contribute to each synthesis.
Neprilysin inhibitors,SAE,eligible_completed_trials,0,PRISMA 2020,Item 16a (study selection),Report denominator of studies assessed/eligible and included.
Neprilysin inhibitors,SAE,endpoint_alignment_rate,,SWiM,Item 7 (standardised metric and comparability),Document endpoint/timeframe alignment across included studies.
Neprilysin inhibitors,SAE,heterogeneity_i2,,PRISMA 2020,"Item 20b/20d (results of syntheses, heterogeneity)",Report heterogeneity and uncertainty for synthesis estimates.
Neprilysin inhibitors,SAE,reporting_debt_rate,0.0,ROB-ME,Risk due to missing results,Assess proportion of completed but unreported studies for each synthesis.
Other,SAE,ecr_participants,0.3771531531531532,SWiM,Item 5/6 (synthesis grouping and data contribution),Describe participant-weighted contribution and missingness.
Other,SAE,ecr_trials,0.19047619047619047,SWiM,Item 5/6 (synthesis grouping and data contribution),State how many eligible studies contribute to each synthesis.
Other,SAE,eligible_completed_trials,126,PRISMA 2020,Item 16a (study selection),Report denominator of studies assessed/eligible and included.
Other,SAE,endpoint_alignment_rate,0.16666666666666666,SWiM,Item 7 (standardised metric and comparability),Document endpoint/timeframe alignment across included studies.
Other,SAE,heterogeneity_i2,21.24588289889892,PRISMA 2020,"Item 20b/20d (results of syntheses, heterogeneity)",Report heterogeneity and uncertainty for synthesis estimates.
Other,SAE,mnar_robust_under_scenario,False,ROB-ME,Sensitivity analysis under plausible missing evidence,Evaluate whether conclusions remain stable under non-random missingness assumptions.
Other,SAE,reporting_debt_rate,0.5961538461538461,ROB-ME,Risk due to missing results,Assess proportion of completed but unreported studies for each synthesis.
SGLT2 inhibitors,SAE,ecr_participants,0.9654926055583339,SWiM,Item 5/6 (synthesis grouping and data contribution),Describe participant-weighted contribution and missingness.
SGLT2 inhibitors,SAE,ecr_trials,0.5,SWiM,Item 5/6 (synthesis grouping and data contribution),State how many eligible studies contribute to each synthesis.
SGLT2 inhibitors,SAE,eligible_completed_trials,14,PRISMA 2020,Item 16a (study selection),Report denominator of studies assessed/eligible and included.
SGLT2 inhibitors,SAE,endpoint_alignment_rate,0.2857142857142857,SWiM,Item 7 (standardised metric and comparability),Document endpoint/timeframe alignment across included studies.
SGLT2 inhibitors,SAE,heterogeneity_i2,37.38148390763857,PRISMA 2020,"Item 20b/20d (results of syntheses, heterogeneity)",Report heterogeneity and uncertainty for synthesis estimates.
SGLT2 inhibitors,SAE,mnar_robust_under_scenario,True,ROB-ME,Sensitivity analysis under plausible missing evidence,Evaluate whether conclusions remain stable under non-random missingness assumptions.
SGLT2 inhibitors,SAE,reporting_debt_rate,0.2,ROB-ME,Risk due to missing results,Assess proportion of completed but unreported studies for each synthesis.
Unknown,SAE,ecr_participants,0.0,SWiM,Item 5/6 (synthesis grouping and data contribution),Describe participant-weighted contribution and missingness.
Unknown,SAE,ecr_trials,0.0,SWiM,Item 5/6 (synthesis grouping and data contribution),State how many eligible studies contribute to each synthesis.
Unknown,SAE,eligible_completed_trials,0,PRISMA 2020,Item 16a (study selection),Report denominator of studies assessed/eligible and included.
Unknown,SAE,endpoint_alignment_rate,,SWiM,Item 7 (standardised metric and comparability),Document endpoint/timeframe alignment across included studies.
Unknown,SAE,heterogeneity_i2,,PRISMA 2020,"Item 20b/20d (results of syntheses, heterogeneity)",Report heterogeneity and uncertainty for synthesis estimates.
Unknown,SAE,reporting_debt_rate,0.0,ROB-ME,Risk due to missing results,Assess proportion of completed but unreported studies for each synthesis.
sGC stimulators,SAE,ecr_participants,1.0,SWiM,Item 5/6 (synthesis grouping and data contribution),Describe participant-weighted contribution and missingness.
sGC stimulators,SAE,ecr_trials,1.0,SWiM,Item 5/6 (synthesis grouping and data contribution),State how many eligible studies contribute to each synthesis.
sGC stimulators,SAE,eligible_completed_trials,3,PRISMA 2020,Item 16a (study selection),Report denominator of studies assessed/eligible and included.
sGC stimulators,SAE,endpoint_alignment_rate,0.3333333333333333,SWiM,Item 7 (standardised metric and comparability),Document endpoint/timeframe alignment across included studies.
sGC stimulators,SAE,heterogeneity_i2,0.0,PRISMA 2020,"Item 20b/20d (results of syntheses, heterogeneity)",Report heterogeneity and uncertainty for synthesis estimates.
sGC stimulators,SAE,mnar_robust_under_scenario,True,ROB-ME,Sensitivity analysis under plausible missing evidence,Evaluate whether conclusions remain stable under non-random missingness assumptions.
sGC stimulators,SAE,reporting_debt_rate,0.3333333333333333,ROB-ME,Risk due to missing results,Assess proportion of completed but unreported studies for each synthesis.
